NodeIdentifier, Zone, PickupType, PickupDetails, UberGroupName, UberGroup, UberIdName, UberId, UberStateValue, X, Y, MapX, MapY
MarshSpawn.RockHC, Marsh, Resource, Life, swampStateGroup, 21786, healthContainerA, 60210, , -958.6, -4313.2, -958.6199, -4312.245
MarshSpawn.FirstPickupEX, Marsh, SpiritLight, 50, swampStateGroup, 21786, smallExpA, 49485, , -764.1, -4313.4, -764.07, -4313.3604
MarshSpawn.GrappleHC, Marsh, Resource, Life, swampStateGroup, 21786, healthContainerA, 25761, , -718.5, -4277.9, -718.4848, -4276.8516
MarshSpawn.BridgeEX, Marsh, SpiritLight, 50, swampStateGroup, 21786, xpOrbA, 6987, , -739.6, -4324.3, -739.64703, -4324.341
MarshSpawn.ResilienceShard, Marsh, Shard, Resilience, pickupsGroup, 23987, barrierShardPickup, 59173, , -791.0, -4334.0, -791.0159, -4333.0396
MarshSpawn.ResilienceOre, Marsh, Resource, Ore, swampStateGroup, 21786, gorlekOreA, 29892, , -810.9, -4334.6, -810.91595, -4334.57
MarshSpawn.BashEC, Marsh, Resource, Energy, swampStateGroup, 21786, halfEnergyCellA, 7152, , -667.8, -4329.7, -667.8059, -4328.67
MarshSpawn.PreLupoEX, Marsh, SpiritLight, 50, inkwaterMarshStateGroup, 9593, xpOrbA, 5929, , -656.8, -4342.1, -656.7713, -4342.064
MarshSpawn.LupoMap, Marsh, Shop, LupoZoneMap, npcsStateGroup, 48248, hasMapInkwaterMarsh, 18767, , -589, -4348, -589, -4348
MarshSpawn.RegenTree, Marsh, Ability, Regenerate, trees, 0, Regenerate, 77, , -539, -4406, -540.16003, -4400.4663
MarshSpawn.LeverEC, Marsh, Resource, Energy, swampStateGroup, 21786, energyHalfCell, 17920, , -625.9, -4418.0, -625.87, -4417.03
MarshSpawn.LeftTokkEX, Marsh, SpiritLight, 50, swampStateGroup, 21786, expOrb, 59513, , -755.8, -4422.9, -755.80414, -4422.9463
MarshSpawn.FightRoomEX, Marsh, SpiritLight, 50, inkwaterMarshStateGroup, 9593, xpOrb, 42047, , -783.3, -4452.0, -783.30786, -4451.996
MarshSpawn.CaveKS, Marsh, Resource, Keystone, swampStateGroup, 21786, swampWalljumpChallengeBKeystoneBCollected, 64677, , -851.8, -4403.2, -851.8496, -4403.1885
MarshSpawn.TokkKeystoneQuest, Marsh, Quest, Keystone, npcsStateGroup, 48248, marshKeystoneQuest, 51645, 3, -695, -4417, -692, -4415.9
MarshSpawn.CaveOre, Marsh, Resource, Ore, inkwaterMarshStateGroup, 9593, gorlekOreA, 23858, , -858.0, -4422.2, -858.04, -4422.17
MarshSpawn.LongSwimEX, Marsh, SpiritLight, 100, swampStateGroup, 21786, mediumExpA, 23154, , -837.5, -4314.6, -837.45593, -4314.53
MarshSpawn.BurrowOre, Marsh, Resource, Ore, inkwaterMarshStateGroup, 9593, gorlekOreA, 20382, , -935.1, -4356.8, -935.05, -4356.8
MarshSpawn.LifepactShard, Marsh, Shard, LifePact, pickupsGroup, 23987, bloodPactShardPickup, 50415, , -916.7, -4398.3, -916.65, -4397.33
MarshSpawn.BurrowsApproachLedgeEX, Marsh, SpiritLight, 50, howlsOriginGroup, 24922, smallExpA, 32076, , -1002.0, -4450.8, -1002.0159, -4450.79
MarshSpawn.CrusherSwimEX, Marsh, SpiritLight, 200, howlsOriginGroup, 24922, largeExpA, 62138, , -979.7, -4509.3, -979.67, -4509.34
MarshSpawn.TokkTabletQuest, Marsh, Quest, SL1000, npcsStateGroup, 48248, inkwaterWellQuest, 18458, 4, -932, -4494, -928.5, -4491.8
MarshSpawn.RecklessShard, Marsh, Shard, Reckless, pickupsGroup, 23987, recklessShardPickup, 9864, , -499.2, -4411.0, -499.24, -4409.98
MarshSpawn.MokkEX, Marsh, SpiritLight, 50, swampStateGroup, 21786, xpOrbB, 43668, , -434.3, -4419.8, -434.31998, -4419.7603
MarshSpawn.FangEC, Marsh, Resource, Energy, swampStateGroup, 21786, halfEnergyCellA, 61706, , -233.4, -4384.4, -233.37244, -4383.35
