NodeIdentifier, UberGroup, UberId, UberStateValue
MarshSpawn.HowlBurnt, 21786, 25095, 1
MarshSpawn.KeystoneDoor, 21786, 42309, 1
MarshSpawn.RainLifted, 0, 100, 1
MarshSpawn.LogBroken, 21786, 59922, 1
MarshSpawn.BurrowsOpen, 24922, 13349, 1
MarshSpawn.ToOpherBarrier, 21786, 23177, 1
MarshSpawn.TokkBarrier, 21786, 35166, 1
MarshSpawn.CaveFight, 21786, 35598, 1
MarshSpawn.BurrowArena, 9593, 59418, 1
HowlsDen.BoneBarrier, 21786, 53932, 1
HowlsDen.KeystoneDoor, 21786, 47445, 1
HowlsDen.DoubleJumpTreeCombat, 9593, 25130, 3
HowlsDen.CombatShrineCompleted, 24922, 45011, 1
MarshPastOpher.TrialActivation, 44964, 45951, 1
MarshPastOpher.EyestoneDoor, 937, 64003, 1
MarshPastOpher.CombatShrineCompleted, 21786, 2869, 1
EastHollow.BeetleDefeated, 937, 53122, 1
EastHollow.VoiceDoor, 937, 6778, 1
EastHollow.DepthsLever, 937, 22419, 1
EastHollow.DepthsOpen, 18793, 25789, 1
WestHollow.PurpleDoorOpen, 937, 59850, 1
WestHollow.UpperDrainLeverPulled, 937, 42245, 1
WestHollow.RockPuzzleSolved, 937, 22716, 1
WestHollow.FullyDrained, 937, 42245, 2
WestHollow.DoorLever, 937, 59920, 1
WestHollow.TrialActivation, 44964, 25545, 1
GladesTown.GromsWall, 42178, 5815, 1
GladesTown.BuildHuts, 42178, 51230, 3
GladesTown.CaveEntrance, 42178, 16586, 3
GladesTown.ClearThorns, 42178, 18751, 3
GladesTown.OnwardsAndUpwards, 42178, 40448, 3
GladesTown.RoofsOverHeads, 42178, 23607, 3
GladesTown.TuleySpawned, 6, 300, 1
WestGlades.CombatShrineCompleted, 44310, 58796, 1
TuleyShop.BlueMoon, 42178, 33011, 3
TuleyShop.LastTree, 42178, 40006, 3
TuleyShop.LastTreeBranchRejected, 14019, 59708, 2
TuleyShop.Lightcatchers, 42178, 47651, 3
TuleyShop.SelaFlowers, 42178, 16254, 3
TuleyShop.SpringPlants, 42178, 38393, 3
TuleyShop.StickyGrass, 42178, 64583, 3
MidnightBurrows.KeystoneDoor, 18793, 3171, 1
MidnightBurrows.Lever, 24922, 16603, 1
MidnightBurrows.HowlsDenShortcut, 24922, 2524, 1
InnerWellspring.DrainLever, 37858, 31187, 1
InnerWellspring.DrainRoomBottomWheel, 37858, 50902, 1
InnerWellspring.DrainRoomTopWheel, 37858, 60716, 1
InnerWellspring.MiddleDoorsOpen, 37858, 9487, 1
InnerWellspring.ShortCutWheel, 37858, 34433, 1
InnerWellspring.SpinArena, 37858, 8487, 2
InnerWellspring.SpinningRoomOpen, 37858, 8487, 5
InnerWellspring.SpinPuzzleSolved, 37858, 36070, 3
InnerWellspring.ThreeWheels, 37858, 64055, 1
InnerWellspring.TopDoorOpen, 37858, 31962, 1
InnerWellspring.UpperCorruption, 37858, 31584, 1
OuterWellspring.EntranceDoorOpen, 37858, 23644, 1
OuterWellspring.WestDoorBlueMoonFree, 53632, 2522, 1
OuterWellspring.TrialActivation, 44964, 11512, 1
WoodsEntry.KeystoneDoor, 58674, 21500, 1
WoodsMain.KeystoneDoor, 18793, 41544, 1
WoodsMain.TrialActivation, 44964, 22703, 1
WoodsMain.CombatShrineCompleted, 58674, 56043, 1
LowerReach.ArenaBeaten, 28895, 42209, 1
LowerReach.BearBridgeBroken, 28895, 49329, 1
LowerReach.BearSneezed, 28895, 29098, 1
LowerReach.Lever, 28895, 62198, 1
LowerReach.WindLantern, 28895, 59394, 1
LowerReach.TPLantern, 28895, 48757, 1
LowerReach.RolledSnowball, 28895, 20731, 1
LowerReach.EastDoorLantern, 28895, 37287, 1
LowerReach.KeystoneDoor, 28895, 4290, 1
LowerReach.TrialActivation, 44964, 23661, 1
UpperReach.KeystoneDoor, 28895, 49900, 1
UpperDepths.CentralKeystoneDoor, 18793, 10758, 1
UpperDepths.EntryKeystoneDoor, 21786, 59990, 1
UpperDepths.LightPuzzle, 18793, 21994, 1
LowerDepths.TrialActivation, 44964, 28552, 1
LowerDepths.CombatShrineCompleted, 18793, 12512, 1
PoolsApproach.WheelFreed, 945, 12852, 1
EastPools.BelowTokkBubbleFree, 5377, 35751, 1
EastPools.BelowTokkPurpleWall, 5377, 26170, 1
EastPools.EntryLever, 5377, 14488, 1
EastPools.ArenaWall, 5377, 22978, 1
EastPools.FightArenas, 5377, 53480, 4
EastPools.LowerWaterDrained, 5377, 63173, 1
EastPools.LupoPurpleFloor, 5377, 8451, 1
EastPools.CentralRoomPurpleWall, 5377, 10782, 1
UpperPools.TrialActivation, 44964, 54686, 1
UpperPools.KeystoneDoor, 5377, 47621, 1
UpperPools.KeystoneRoomBubbleFree, 5377, 15754, 1
UpperPools.TreeRoomLeftBubbleFree, 5377, 24765, 1
UpperPools.UpperWaterDrained, 5377, 29911, 1
UpperPools.ButtonDoorAboveTree, 5377, 15402, 1
LowerWastes.SandPlatformLever, 20120, 48009, 1
LowerWastes.TrialActivation, 44964, 30767, 1
UpperWastes.KeystoneDoor, 20120, 28786, 1
UpperWastes.LeverDoor, 20120, 12902, 1
WindtornRuins.HeartBarrier, 10289, 43103, 1
WindtornRuins.RuinsLever, 10289, 41277, 1
WeepingRidge.ElevatorFightCompleted, 36153, 23584, 1
WillowsEnd.GrappleWheelsHeart, 16155, 60752, 1
WillowsEnd.BoulderHeart, 16155, 41488, 1
WillowsEnd.RedirectHeart, 16155, 65277, 1
WillowsEnd.BurrowHeart, 16155, 3588, 1
WillowsEnd.MinibossHeart, 16155, 28478, 1
WillowsEnd.SpinLasersHeart, 16155, 54940, 1
WillowsEnd.GlideHeart, 16155, 42976, 1
WillowsEnd.SpinPortalsHeart, 16155, 24290, 1
